kind,name,classification,availability,evidence_level,confidence,identifier_or_format,inputs_defaults,success_behavior,failure_behavior,dependencies_platform,source_file,source_symbol,source_line,test_evidence,sim_status,parity_gap,feature_id
memory mode,Dynamic VRAM,memory mode,conditional,code-inferred,high,default unless explicitly disabled or conflicting mode,default unless explicitly disabled or conflicting mode,Uses comfy-aimdo dynamic loading with VRAM headroom and disk/pinned-RAM policies.,Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,default unless explicitly disabled or conflicting mode,comfy/model_management.py; comfy/cli_args.py,Dynamic VRAM,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Dynamic VRAM.,COMFY-MODEL-0056
memory mode,asynchronous offload,memory mode,conditional,code-inferred,high,NVIDIA default or --async-offload,NVIDIA default or --async-offload,Uses one or more offload streams and synchronization/cast buffers.,Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,NVIDIA default or --async-offload,comfy/model_management.py; comfy/cli_args.py,asynchronous offload,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for asynchronous offload.,COMFY-MODEL-0057
memory mode,highvram/gpu-only,memory mode,conditional,code-inferred,high,--highvram or --gpu-only,--highvram or --gpu-only,Keeps models in GPU memory; gpu-only also places text encoders and intermediates on GPU.,Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,--highvram or --gpu-only,comfy/model_management.py; comfy/cli_args.py,highvram/gpu-only,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for highvram/gpu-only.,COMFY-MODEL-0058
memory mode,lowvram/novram,memory mode,conditional,code-inferred,high,--lowvram or --novram,--lowvram or --novram,Uses CPU offload/model patching to reduce VRAM usage.,Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,--lowvram or --novram,comfy/model_management.py; comfy/cli_args.py,lowvram/novram,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for lowvram/novram.,COMFY-MODEL-0059
memory mode,pinned memory,memory mode,conditional,code-inferred,high,enabled when supported unless --disable-pinned-memory,enabled when supported unless --disable-pinned-memory,Pins host tensors within registered budgets and evicts under pressure.,Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,enabled when supported unless --disable-pinned-memory,comfy/model_management.py; comfy/cli_args.py,pinned memory,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for pinned memory.,COMFY-MODEL-0060
model family,ACEStep,registered model architecture detector/loader,conditional,code-inferred,high,{'audio_model': 'ace'},"bases=supported_models_base.BASE; latent_format=comfy.latent_formats.ACEAudio; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,ACEStep,1701,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for ACEStep.,COMFY-MODEL-0061
model family,ACEStep15,registered model architecture detector/loader,conditional,code-inferred,high,{'audio_model': 'ace1.5'},"bases=supported_models_base.BASE; latent_format=comfy.latent_formats.ACEAudio15; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,ACEStep15,2024,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for ACEStep15.,COMFY-MODEL-0062
model family,Anima,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'anima'},"bases=supported_models_base.BASE; latent_format=latent_formats.Wan21; dtypes=[torch.bfloat16, torch.float16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Anima,1099,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Anima.,COMFY-MODEL-0063
model family,AuraFlow,registered model architecture detector/loader,conditional,code-inferred,high,{'cond_seq_dim': 2048},bases=supported_models_base.BASE; latent_format=latent_formats.SDXL; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,AuraFlow,634,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for AuraFlow.,COMFY-MODEL-0064
model family,Boogu,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'boogu'},bases=Omnigen2; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Boogu,1763,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Boogu.,COMFY-MODEL-0065
model family,Chroma,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'chroma'},"bases=supported_models_base.BASE; latent_format=comfy.latent_formats.Flux; dtypes=[torch.bfloat16, torch.float16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Chroma,1652,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Chroma.,COMFY-MODEL-0066
model family,ChromaRadiance,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'chroma_radiance'},bases=Chroma; latent_format=comfy.latent_formats.ChromaRadiance; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,ChromaRadiance,1688,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for ChromaRadiance.,COMFY-MODEL-0067
model family,CogVideoX_I2V,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'cogvideox', 'in_channels': 32}",bases=CogVideoX_T2V; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,CogVideoX_I2V,2249,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for CogVideoX_I2V.,COMFY-MODEL-0068
model family,CogVideoX_Inpaint,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'cogvideox', 'in_channels': 48}",bases=CogVideoX_T2V; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,CogVideoX_Inpaint,2263,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for CogVideoX_Inpaint.,COMFY-MODEL-0069
model family,CogVideoX_T2V,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'cogvideox'},"bases=supported_models_base.BASE; latent_format=latent_formats.CogVideoX; dtypes=[torch.bfloat16, torch.float16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,CogVideoX_T2V,2209,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for CogVideoX_T2V.,COMFY-MODEL-0070
model family,CosmosI2V,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'cosmos', 'in_channels': 17}",bases=CosmosT2V; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,CosmosI2V,1057,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for CosmosI2V.,COMFY-MODEL-0071
model family,CosmosI2VPredict2,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'cosmos_predict2', 'in_channels': 17}",bases=CosmosT2IPredict2; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,CosmosI2VPredict2,1131,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for CosmosI2VPredict2.,COMFY-MODEL-0072
model family,CosmosT2IPredict2,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'cosmos_predict2', 'in_channels': 16}","bases=supported_models_base.BASE; latent_format=latent_formats.Wan21; dtypes=[torch.bfloat16, torch.float16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,CosmosT2IPredict2,1067,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for CosmosT2IPredict2.,COMFY-MODEL-0073
model family,CosmosT2V,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'cosmos', 'in_channels': 16}","bases=supported_models_base.BASE; latent_format=latent_formats.Cosmos1CV8x8x8; dtypes=[torch.bfloat16, torch.float16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,CosmosT2V,1026,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for CosmosT2V.,COMFY-MODEL-0074
model family,DepthAnything3,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'DepthAnything3'},"bases=supported_models_base.BASE; latent_format=inherited; dtypes=[torch.float16, torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,DepthAnything3,2111,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for DepthAnything3.,COMFY-MODEL-0075
model family,ErnieImage,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'ernie'},"bases=supported_models_base.BASE; latent_format=latent_formats.Flux2; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,ErnieImage,2128,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for ErnieImage.,COMFY-MODEL-0076
model family,Flux,registered model architecture detector/loader,conditional,test-backed,high,"{'image_model': 'flux', 'guidance_embed': True}","bases=supported_models_base.BASE; latent_format=latent_formats.Flux; dtypes=[torch.bfloat16, torch.float16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Flux,730,tests-unit/comfy_test/model_detection_test.py,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Flux.,COMFY-MODEL-0077
model family,Flux2,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'flux2'},"bases=Flux; latent_format=latent_formats.Flux2; dtypes=[torch.bfloat16, torch.float16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Flux2,791,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Flux2.,COMFY-MODEL-0078
model family,FluxInpaint,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'flux', 'guidance_embed': True, 'in_channels': 96}","bases=Flux; latent_format=inherited; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,FluxInpaint,767,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for FluxInpaint.,COMFY-MODEL-0079
model family,FluxSchnell,registered model architecture detector/loader,conditional,test-backed,high,"{'image_model': 'flux', 'guidance_embed': False}",bases=Flux; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,FluxSchnell,776,tests-unit/comfy_test/model_detection_test.py,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for FluxSchnell.,COMFY-MODEL-0080
model family,GenmoMochi,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'mochi_preview'},"bases=supported_models_base.BASE; latent_format=latent_formats.Mochi; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,GenmoMochi,880,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for GenmoMochi.,COMFY-MODEL-0081
model family,HiDream,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'hidream'},"bases=supported_models_base.BASE; latent_format=latent_formats.Flux; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,HiDream,1579,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HiDream.,COMFY-MODEL-0082
model family,HiDreamO1,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'hidream_o1'},"bases=supported_models_base.BASE; latent_format=latent_formats.HiDreamO1Pixel; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,HiDreamO1,1608,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HiDreamO1.,COMFY-MODEL-0083
model family,Hunyuan3Dv2,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'hunyuan3d2'},bases=supported_models_base.BASE; latent_format=latent_formats.Hunyuan3Dv2; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Hunyuan3Dv2,1497,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Hunyuan3Dv2.,COMFY-MODEL-0084
model family,Hunyuan3Dv2_1,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'hunyuan3d2_1'},bases=Hunyuan3Dv2; latent_format=latent_formats.Hunyuan3Dv2_1; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Hunyuan3Dv2_1,1536,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Hunyuan3Dv2_1.,COMFY-MODEL-0085
model family,Hunyuan3Dv2mini,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'hunyuan3d2', 'depth': 8}",bases=Hunyuan3Dv2; latent_format=latent_formats.Hunyuan3Dv2mini; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Hunyuan3Dv2mini,1547,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Hunyuan3Dv2mini.,COMFY-MODEL-0086
model family,HunyuanDiT,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'hydit'},bases=supported_models_base.BASE; latent_format=latent_formats.SDXL; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,HunyuanDiT,690,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HunyuanDiT.,COMFY-MODEL-0087
model family,HunyuanDiT1,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'hydit1'},bases=HunyuanDiT; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,HunyuanDiT1,718,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HunyuanDiT1.,COMFY-MODEL-0088
model family,HunyuanImage21,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'hunyuan_video', 'vec_in_dim': None}","bases=HunyuanVideo; latent_format=latent_formats.HunyuanImage21; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,HunyuanImage21,1880,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HunyuanImage21.,COMFY-MODEL-0089
model family,HunyuanImage21Refiner,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'hunyuan_video', 'patch_size': [1, 1, 1], 'vec_in_dim': None}",bases=HunyuanVideo; latent_format=latent_formats.HunyuanImage21Refiner; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,HunyuanImage21Refiner,1905,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HunyuanImage21Refiner.,COMFY-MODEL-0090
model family,HunyuanVideo,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'hunyuan_video'},"bases=supported_models_base.BASE; latent_format=latent_formats.HunyuanVideo; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,HunyuanVideo,956,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HunyuanVideo.,COMFY-MODEL-0091
model family,HunyuanVideo15,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'hunyuan_video', 'vision_in_dim': 1152}","bases=HunyuanVideo; latent_format=latent_formats.HunyuanVideo15; dtypes=[torch.float16, torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,HunyuanVideo15,1922,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HunyuanVideo15.,COMFY-MODEL-0092
model family,HunyuanVideo15_SR_Distilled,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'hunyuan_video', 'vision_in_dim': 1152, 'in_channels': 98}","bases=HunyuanVideo; latent_format=latent_formats.HunyuanVideo15; dtypes=[torch.float16, torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,HunyuanVideo15_SR_Distilled,1946,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HunyuanVideo15_SR_Distilled.,COMFY-MODEL-0093
model family,HunyuanVideoI2V,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'hunyuan_video', 'in_channels': 33}",bases=HunyuanVideo; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,HunyuanVideoI2V,1006,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HunyuanVideoI2V.,COMFY-MODEL-0094
model family,HunyuanVideoSkyreelsI2V,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'hunyuan_video', 'in_channels': 32}",bases=HunyuanVideo; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,HunyuanVideoSkyreelsI2V,1016,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HunyuanVideoSkyreelsI2V.,COMFY-MODEL-0095
model family,Ideogram4,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'ideogram4'},"bases=supported_models_base.BASE; latent_format=latent_formats.Flux2; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Ideogram4,1784,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Ideogram4.,COMFY-MODEL-0096
model family,KOALA_1B,registered model architecture detector/loader,conditional,code-inferred,high,"{'model_channels': 320, 'use_linear_in_transformer': True, 'transformer_depth': [0, 2, 6], 'context_dim': 2048, 'adm_in_channels': 2816, 'use_temporal_attention': False}",bases=SDXL; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,KOALA_1B,299,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for KOALA_1B.,COMFY-MODEL-0097
model family,KOALA_700M,registered model architecture detector/loader,conditional,code-inferred,high,"{'model_channels': 320, 'use_linear_in_transformer': True, 'transformer_depth': [0, 2, 5], 'context_dim': 2048, 'adm_in_channels': 2816, 'use_temporal_attention': False}",bases=SDXL; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,KOALA_700M,289,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for KOALA_700M.,COMFY-MODEL-0098
