feature_id,product,domain,name,classification,availability,evidence_level,confidence,schema_format,serialization_behavior,migration_backward_compatibility,failure_recovery,source_evidence,test_evidence,current_zed_status,exact_parity_gap,acceptance_criteria,validation,open_questions
COMFY-FORMAT-031,ComfyUI,format/persistence,assets,database table,conditional,test-backed,high,"Content identity: UUID id, optional unique blake3 hash, nonnegative size_bytes, MIME type, created_at.","Content identity: UUID id, optional unique blake3 hash, nonnegative size_bytes, MIME type, created_at.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",app/assets/database/models.py:Asset; alembic_db/versions/0001_assets.py,tests-unit/app_test/frontend_manager_test.py | tests-unit/assets_test/conftest.py | tests-unit/assets_test/helpers.py | tests-unit/assets_test/queries/conftest.py | tests-unit/assets_test/queries/test_asset.py | tests-unit/assets_test/queries/test_asset_info.py | tests-unit/assets_test/queries/test_asset_reference_keyset.py | tests-unit/assets_test/queries/test_cache_state.py | tests-unit/assets_test/queries/test_metadata.py | tests-unit/assets_test/queries/test_tags.py | tests-unit/assets_test/services/conftest.py | tests-unit/assets_test/services/test_asset_management.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for assets.,"Zed shall round-trip deterministic assets fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for assets.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-032,ComfyUI,format/persistence,asset_references,database table,conditional,test-backed,high,"Owner-visible/file reference with content FK, path/mtime/verification/missing/enrichment, owner/name/preview self-FK, user/system metadata, job ID, timestamps, soft deletion and indexes.","Owner-visible/file reference with content FK, path/mtime/verification/missing/enrichment, owner/name/preview self-FK, user/system metadata, job ID, timestamps, soft deletion and indexes.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",app/assets/database/models.py:AssetReference; alembic_db/versions/0002_merge_to_asset_references.py; 0003_add_metadata_job_id.py,tests-unit/app_test/test_migrations.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for asset_references.,"Zed shall round-trip deterministic asset_references fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for asset_references.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-033,ComfyUI,format/persistence,asset_reference_meta,database table,conditional,code-inferred,high,Typed metadata projection keyed by reference/key/ordinal with exactly one-or-more value columns non-null after migration 0003.,Typed metadata projection keyed by reference/key/ordinal with exactly one-or-more value columns non-null after migration 0003.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",app/assets/database/models.py:AssetReferenceMeta; alembic_db/versions/0002_merge_to_asset_references.py; 0003_add_metadata_job_id.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for asset_reference_meta.,"Zed shall round-trip deterministic asset_reference_meta fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for asset_reference_meta.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-034,ComfyUI,format/persistence,asset_reference_tags,database table,conditional,test-backed,high,Many-to-many reference/tag key with origin and added_at; cascade from reference and restricted tag deletion.,Many-to-many reference/tag key with origin and added_at; cascade from reference and restricted tag deletion.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",app/assets/database/models.py:AssetReferenceTag; alembic_db/versions/0002_merge_to_asset_references.py,tests-unit/assets_test/services/test_ingest.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for asset_reference_tags.,"Zed shall round-trip deterministic asset_reference_tags fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for asset_reference_tags.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-035,ComfyUI,format/persistence,tags,database table,conditional,test-backed,high,Lowercase tag vocabulary keyed by name; obsolete tag_type is removed by migration 0004.,Lowercase tag vocabulary keyed by name; obsolete tag_type is removed by migration 0004.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",app/assets/database/models.py:Tag; alembic_db/versions/0001_assets.py; 0004_drop_tag_type.py,tests-unit/assets_test/conftest.py | tests-unit/assets_test/queries/test_asset_info.py | tests-unit/assets_test/queries/test_tags.py | tests-unit/assets_test/services/test_asset_management.py | tests-unit/assets_test/services/test_bulk_ingest.py | tests-unit/assets_test/services/test_ingest.py | tests-unit/assets_test/services/test_tag_histogram.py | tests-unit/assets_test/services/test_tagging.py | tests-unit/assets_test/test_assets_missing_sync.py | tests-unit/assets_test/test_crud.py | tests-unit/assets_test/test_downloads.py | tests-unit/assets_test/test_list_cursor.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for tags.,"Zed shall round-trip deterministic tags fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for tags.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-036,ComfyUI,format/persistence,0001_assets,database migration,infrastructure-only,code-inferred,high,Creates original assets/assets_info/tags/asset_info_tags/asset_cache_state/asset_info_meta schema and seeded tags.,Creates original assets/assets_info/tags/asset_info_tags/asset_cache_state/asset_info_meta schema and seeded tags.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",alembic_db/versions/0001_assets.py,,deferred,No Comfy-specific Zed implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Zed has no native lossless adapter for 0001_assets.,"Zed shall round-trip deterministic 0001_assets fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for 0001_assets.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-037,ComfyUI,format/persistence,0002_merge_to_asset_references,database migration,infrastructure-only,test-backed,high,Destructively drops/truncates original reference/cache data and creates unified asset_references/tag/meta schema; downgrade also cannot recover data.,Destructively drops/truncates original reference/cache data and creates unified asset_references/tag/meta schema; downgrade also cannot recover data.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",alembic_db/versions/0002_merge_to_asset_references.py,tests-unit/app_test/test_migrations.py,deferred,No Comfy-specific Zed implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Zed has no native lossless adapter for 0002_merge_to_asset_references.,"Zed shall round-trip deterministic 0002_merge_to_asset_references fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for 0002_merge_to_asset_references.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-038,ComfyUI,format/persistence,0003_add_metadata_job_id,database migration,infrastructure-only,code-inferred,high,"Adds system_metadata/job_id, changes preview_id to self-reference after nulling values, indexes it, and enforces non-null typed metadata.","Adds system_metadata/job_id, changes preview_id to self-reference after nulling values, indexes it, and enforces non-null typed metadata.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",alembic_db/versions/0003_add_metadata_job_id.py,,deferred,No Comfy-specific Zed implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Zed has no native lossless adapter for 0003_add_metadata_job_id.,"Zed shall round-trip deterministic 0003_add_metadata_job_id fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for 0003_add_metadata_job_id.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-039,ComfyUI,format/persistence,0004_drop_tag_type,database migration,infrastructure-only,code-inferred,high,Drops vestigial tags.tag_type/index; downgrade recreates default user column/index.,Drops vestigial tags.tag_type/index; downgrade recreates default user column/index.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",alembic_db/versions/0004_drop_tag_type.py,,deferred,No Comfy-specific Zed implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Zed has no native lossless adapter for 0004_drop_tag_type.,"Zed shall round-trip deterministic 0004_drop_tag_type fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for 0004_drop_tag_type.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-040,ComfyUI,format/persistence,OpenAPI 3.0.3,API description,conditional,code-inferred,high,"Version 1.0.0 document defines 63 paths, component schemas, ApiKey/Bearer/Cookie schemes, and cloud/runtime operations; some paths have no matching core handler.","Version 1.0.0 document defines 63 paths, component schemas, ApiKey/Bearer/Cookie schemes, and cloud/runtime operations; some paths have no matching core handler.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",openapi.yaml,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for OpenAPI 3.0.3.,"Zed shall round-trip deterministic OpenAPI 3.0.3 fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for OpenAPI 3.0.3.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
