node_identifier,class_name,display_name,category,product,classification,availability,evidence_level,confidence,schema_api,schema_source,inputs,outputs,input_is_list,output_is_list,lazy_inputs,output_node,execution_function,validation,caching,change_detection,execution_blocking,error_behavior,source_file,source_symbol,source_line,test_evidence,registration_evidence,feature_id
HappyHorseReferenceVideoApi,HappyHorseReferenceVideoApi,HappyHorse Reference to Video,partner/video/Wan,ComfyUI,API node,cloud/paid,code-inferred,high,V3,"@classmethod def define_schema(cls): return IO.Schema(node_id='HappyHorseReferenceVideoApi', display_name='HappyHorse Reference to Video', category='partner/video/Wan', description='Generate a video featuring a person or object from reference materials with the HappyHorse model. Supports single-character performances and multi-character interactions.', inputs=[IO.DynamicCombo.Input('model', options=[IO.DynamicCombo.Option('happyhorse-1.1-r2v', [IO.String.Input('prompt', multiline=True, default='', tooltip=""Prompt describing the video. Use identifiers such as 'character1' and 'character2' to refer to the reference characters.""), IO.Combo.Input('resolution', options=['720P', '1080P']), IO.Combo.Input('ratio', options=['16:9', '9:16', '1:1', '4:3', '3:4', '21:9', '9:21', '5:4', '4:5']), IO.Int.Input('duration', default=5, min=3, max=15, step=1, display_mode=IO.NumberDisplay.number), IO.Autogrow.Input('reference_images', template=IO.Autogrow.TemplateNames(IO.Image.Input('reference_image'), names=['image1', 'image2', 'image3', 'image4', 'image5', 'image6', 'image7', 'image8', 'image9'], min=1))]), IO.DynamicCombo.Option('happyhorse-1.0-r2v', [IO.String.Input('prompt', multiline=True, default='', tooltip=""Prompt describing the video. Use identifiers such as 'character1' and 'character2' to refer to the reference characters.""), IO.Combo.Input('resolution', options=['720P', '1080P']), IO.Combo.Input('ratio', options=['16:9', '9:16', '1:1', '4:3', '3:4']), IO.Int.Input('duration', default=5, min=3, max=15, step=1, display_mode=IO.NumberDisplay.number), IO.Autogrow.Input('reference_images', template=IO.Autogrow.TemplateNames(IO.Image.Input('reference_image'), names=['image1', 'image2', 'image3', 'image4', 'image5', 'image6', 'image7', 'image8', 'image9'], min=1))])]), IO.Int.Input('seed', default=0, min=0, max=2147483647, step=1, display_mode=IO.NumberDisplay.number, control_after_generate=True, tooltip='Seed to use for generation.'), IO.Boolean.Input('watermark', default=False, tooltip='Whether to add an AI-generated watermark to the result.', advanced=True)], outputs=[IO.Video.Output()], hidden=[IO.Hidden.auth_token_comfy_org, IO.Hidden.api_key_comfy_org, IO.Hidden.unique_id], is_api_node=True, price_badge=IO.PriceBadge(depends_on=IO.PriceBadgeDepends(widgets=['model', 'model.resolution', 'model.duration']), expr='\n (\n $res := $lookup(widgets, ""model.resolution"");\n $dur := $lookup(widgets, ""model.duration"");\n $ppsTable := $contains(widgets.model, ""1.1"")\n ? { ""720p"": 0.2002, ""1080p"": 0.2574 }\n : { ""720p"": 0.14, ""1080p"": 0.24 };\n $pps := $lookup($ppsTable, $res);\n { ""type"": ""usd"", ""usd"": $pps * $dur }\n )\n '))","IO.DynamicCombo.Input:model(options=[IO.DynamicCombo.Option('happyhorse-1.1-r2v', [IO.String.Input('prompt', multiline=True, default='', tooltip=""Prompt describing the video. Use identifiers such as 'character1' and 'character2' to refer to the reference characters.""), IO.Combo.Input('resolution', options=['720P', '1080P']), IO.Combo.Input('ratio', options=['16:9', '9:16', '1:1', '4:3', '3:4', '21:9', '9:21', '5:4', '4:5']), IO.Int.Input('duration', default=5, min=3, max=15, step=1, display_mode=IO.NumberDisplay.number), IO.Autogrow.Input('reference_images', template=IO.Autogrow.TemplateNames(IO.Image.Input('reference_image'), names=['image1', 'image2', 'image3', 'image4', 'image5', 'image6', 'image7', 'image8', 'image9'], min=1))]), IO.DynamicCombo.Option('happyhorse-1.0-r2v', [IO.String.Input('prompt', multiline=True, default='', tooltip=""Prompt describing the video. Use identifiers such as 'character1' and 'character2' to refer to the reference characters.""), IO.Combo.Input('resolution', options=['720P', '1080P']), IO.Combo.Input('ratio', options=['16:9', '9:16', '1:1', '4:3', '3:4']), IO.Int.Input('duration', default=5, min=3, max=15, step=1, display_mode=IO.NumberDisplay.number), IO.Autogrow.Input('reference_images', template=IO.Autogrow.TemplateNames(IO.Image.Input('reference_image'), names=['image1', 'image2', 'image3', 'image4', 'image5', 'image6', 'image7', 'image8', 'image9'], min=1))])]) | IO.Int.Input:seed(default=0;min=0;max=2147483647;step=1;control_after_generate=True) | IO.Boolean.Input:watermark(default=False;advanced=True) | IO.String.Input:prompt(multiline=True;default='') | IO.Combo.Input:resolution(options=['720P', '1080P']) | IO.Combo.Input:ratio(options=['16:9', '9:16', '1:1', '4:3', '3:4', '21:9', '9:21', '5:4', '4:5']) | IO.Int.Input:duration(default=5;min=3;max=15;step=1) | IO.Autogrow.Input:reference_images | IO.String.Input:prompt(multiline=True;default='') | IO.Combo.Input:resolution(options=['720P', '1080P']) | IO.Combo.Input:ratio(options=['16:9', '9:16', '1:1', '4:3', '3:4']) | IO.Int.Input:duration(default=5;min=3;max=15;step=1) | IO.Autogrow.Input:reference_images | IO.Autogrow.TemplateNames:(min=1) | IO.Autogrow.TemplateNames:(min=1) | IO.Image.Input:reference_image | IO.Image.Input:reference_image",IO.Video.Output:,False,[false],False,False,async HappyHorseReferenceVideoApi.execute (comfy_api_nodes/nodes_wan.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream; async functions awaited,class raises: ValueError('At least one reference image must be provided.') | Exception(f'An unknown error occurred: {initial_response.code} - {initial_response.message}'); uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_api_nodes/nodes_wan.py,HappyHorseReferenceVideoApi,2114,,ComfyExtension.get_node_list,COMFY-NODE-0221
HappyHorseTextToVideoApi,HappyHorseTextToVideoApi,HappyHorse Text to Video,partner/video/Wan,ComfyUI,API node,cloud/paid,code-inferred,high,V3,"@classmethod def define_schema(cls): return IO.Schema(node_id='HappyHorseTextToVideoApi', display_name='HappyHorse Text to Video', category='partner/video/Wan', description='Generates a video based on a text prompt using the HappyHorse model.', inputs=[IO.DynamicCombo.Input('model', options=[IO.DynamicCombo.Option('happyhorse-1.1-t2v', [IO.String.Input('prompt', multiline=True, default='', tooltip='Prompt describing the elements and visual features. Supports English and Chinese.'), IO.Combo.Input('resolution', options=['720P', '1080P']), IO.Combo.Input('ratio', options=['16:9', '9:16', '1:1', '4:3', '3:4', '21:9', '9:21', '5:4', '4:5']), IO.Int.Input('duration', default=5, min=3, max=15, step=1, display_mode=IO.NumberDisplay.number)]), IO.DynamicCombo.Option('happyhorse-1.0-t2v', [IO.String.Input('prompt', multiline=True, default='', tooltip='Prompt describing the elements and visual features. Supports English and Chinese.'), IO.Combo.Input('resolution', options=['720P', '1080P']), IO.Combo.Input('ratio', options=['16:9', '9:16', '1:1', '4:3', '3:4']), IO.Int.Input('duration', default=5, min=3, max=15, step=1, display_mode=IO.NumberDisplay.number)])]), IO.Int.Input('seed', default=0, min=0, max=2147483647, step=1, display_mode=IO.NumberDisplay.number, control_after_generate=True, tooltip='Seed to use for generation.'), IO.Boolean.Input('watermark', default=False, tooltip='Whether to add an AI-generated watermark to the result.', advanced=True)], outputs=[IO.Video.Output()], hidden=[IO.Hidden.auth_token_comfy_org, IO.Hidden.api_key_comfy_org, IO.Hidden.unique_id], is_api_node=True, price_badge=IO.PriceBadge(depends_on=IO.PriceBadgeDepends(widgets=['model', 'model.resolution', 'model.duration']), expr='\n (\n $res := $lookup(widgets, ""model.resolution"");\n $dur := $lookup(widgets, ""model.duration"");\n $ppsTable := $contains(widgets.model, ""1.1"")\n ? { ""720p"": 0.2002, ""1080p"": 0.2574 }\n : { ""720p"": 0.14, ""1080p"": 0.24 };\n $pps := $lookup($ppsTable, $res);\n { ""type"": ""usd"", ""usd"": $pps * $dur }\n )\n '))","IO.DynamicCombo.Input:model(options=[IO.DynamicCombo.Option('happyhorse-1.1-t2v', [IO.String.Input('prompt', multiline=True, default='', tooltip='Prompt describing the elements and visual features. Supports English and Chinese.'), IO.Combo.Input('resolution', options=['720P', '1080P']), IO.Combo.Input('ratio', options=['16:9', '9:16', '1:1', '4:3', '3:4', '21:9', '9:21', '5:4', '4:5']), IO.Int.Input('duration', default=5, min=3, max=15, step=1, display_mode=IO.NumberDisplay.number)]), IO.DynamicCombo.Option('happyhorse-1.0-t2v', [IO.String.Input('prompt', multiline=True, default='', tooltip='Prompt describing the elements and visual features. Supports English and Chinese.'), IO.Combo.Input('resolution', options=['720P', '1080P']), IO.Combo.Input('ratio', options=['16:9', '9:16', '1:1', '4:3', '3:4']), IO.Int.Input('duration', default=5, min=3, max=15, step=1, display_mode=IO.NumberDisplay.number)])]) | IO.Int.Input:seed(default=0;min=0;max=2147483647;step=1;control_after_generate=True) | IO.Boolean.Input:watermark(default=False;advanced=True) | IO.String.Input:prompt(multiline=True;default='') | IO.Combo.Input:resolution(options=['720P', '1080P']) | IO.Combo.Input:ratio(options=['16:9', '9:16', '1:1', '4:3', '3:4', '21:9', '9:21', '5:4', '4:5']) | IO.Int.Input:duration(default=5;min=3;max=15;step=1) | IO.String.Input:prompt(multiline=True;default='') | IO.Combo.Input:resolution(options=['720P', '1080P']) | IO.Combo.Input:ratio(options=['16:9', '9:16', '1:1', '4:3', '3:4']) | IO.Int.Input:duration(default=5;min=3;max=15;step=1)",IO.Video.Output:,False,[false],False,False,async HappyHorseTextToVideoApi.execute (comfy_api_nodes/nodes_wan.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream; async functions awaited,class raises: Exception(f'An unknown error occurred: {initial_response.code} - {initial_response.message}'); uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_api_nodes/nodes_wan.py,HappyHorseTextToVideoApi,1651,,ComfyExtension.get_node_list,COMFY-NODE-0222
HappyHorseVideoEditApi,HappyHorseVideoEditApi,HappyHorse Video Edit,partner/video/Wan,ComfyUI,API node,cloud/paid,code-inferred,high,V3,"@classmethod def define_schema(cls): return IO.Schema(node_id='HappyHorseVideoEditApi', display_name='HappyHorse Video Edit', category='partner/video/Wan', description='Edit a video using text instructions or reference images with the HappyHorse model. Output duration is 3-15s and matches the input video; inputs longer than 15s are truncated.', inputs=[IO.DynamicCombo.Input('model', options=[IO.DynamicCombo.Option('happyhorse-1.0-video-edit', [IO.String.Input('prompt', multiline=True, default='', tooltip='Editing instructions or style transfer requirements.'), IO.Combo.Input('resolution', options=['720P', '1080P']), IO.Combo.Input('ratio', options=['16:9', '9:16', '1:1', '4:3', '3:4'], tooltip='Aspect ratio. If not changed, approximates the input video ratio.'), IO.Autogrow.Input('reference_images', template=IO.Autogrow.TemplateNames(IO.Image.Input('reference_image'), names=['image1', 'image2', 'image3', 'image4', 'image5'], min=0))])]), IO.Video.Input('video', tooltip='The video to edit.'), IO.Int.Input('seed', default=0, min=0, max=2147483647, step=1, display_mode=IO.NumberDisplay.number, control_after_generate=True, tooltip='Seed to use for generation.'), IO.Boolean.Input('watermark', default=False, tooltip='Whether to add an AI-generated watermark to the result.', advanced=True)], outputs=[IO.Video.Output()], hidden=[IO.Hidden.auth_token_comfy_org, IO.Hidden.api_key_comfy_org, IO.Hidden.unique_id], is_api_node=True, price_badge=IO.PriceBadge(depends_on=IO.PriceBadgeDepends(widgets=['model', 'model.resolution']), expr='\n (\n $res := $lookup(widgets, ""model.resolution"");\n $ppsTable := { ""720p"": 0.14, ""1080p"": 0.24 };\n $pps := $lookup($ppsTable, $res);\n { ""type"": ""usd"", ""usd"": $pps, ""format"": { ""suffix"": ""/second"" } }\n )\n '))","IO.DynamicCombo.Input:model(options=[IO.DynamicCombo.Option('happyhorse-1.0-video-edit', [IO.String.Input('prompt', multiline=True, default='', tooltip='Editing instructions or style transfer requirements.'), IO.Combo.Input('resolution', options=['720P', '1080P']), IO.Combo.Input('ratio', options=['16:9', '9:16', '1:1', '4:3', '3:4'], tooltip='Aspect ratio. If not changed, approximates the input video ratio.'), IO.Autogrow.Input('reference_images', template=IO.Autogrow.TemplateNames(IO.Image.Input('reference_image'), names=['image1', 'image2', 'image3', 'image4', 'image5'], min=0))])]) | IO.Video.Input:video | IO.Int.Input:seed(default=0;min=0;max=2147483647;step=1;control_after_generate=True) | IO.Boolean.Input:watermark(default=False;advanced=True) | IO.String.Input:prompt(multiline=True;default='') | IO.Combo.Input:resolution(options=['720P', '1080P']) | IO.Combo.Input:ratio(options=['16:9', '9:16', '1:1', '4:3', '3:4']) | IO.Autogrow.Input:reference_images | IO.Autogrow.TemplateNames:(min=0) | IO.Image.Input:reference_image",IO.Video.Output:,False,[false],False,False,async HappyHorseVideoEditApi.execute (comfy_api_nodes/nodes_wan.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream; async functions awaited,class raises: Exception(f'An unknown error occurred: {initial_response.code} - {initial_response.message}'); uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_api_nodes/nodes_wan.py,HappyHorseVideoEditApi,1973,,ComfyExtension.get_node_list,COMFY-NODE-0223
HiDreamO1PatchSeamSmoothing,HiDreamO1PatchSeamSmoothing,HiDream-O1 Patch Seam Smoothing,model/patch/hidream,ComfyUI,built-in node,experimental,code-inferred,high,V3,"@classmethod def define_schema(cls) -> io.Schema: return io.Schema(node_id='HiDreamO1PatchSeamSmoothing', display_name='HiDream-O1 Patch Seam Smoothing', category='model/patch/hidream', is_experimental=True, description='Average the model output across multiple shifted patch-grid positions during the late portion of sampling. Cancels seams.', inputs=[io.Model.Input(id='model'), io.Float.Input(id='start_percent', default=0.8, min=0.0, max=1.0, step=0.01, tooltip='Sampling progress (0=start, 1=end) at which the blend turns ON.'), io.Float.Input(id='end_percent', default=1.0, min=0.0, max=1.0, step=0.01, tooltip='Sampling progress at which the blend turns OFF.'), io.Combo.Input(id='pattern', options=['single_shift', 'symmetric'], default='single_shift', tooltip='Shift layout. single_shift: one pass at the natural patch grid + others offset. symmetric: all passes off-grid, shifts split around origin.'), io.Combo.Input(id='passes', options=['2', '4', 'ramp_2_4', 'ramp_2_4_8'], default='2', tooltip='Number of passes per gated step. 2/4 = fixed. ramp_*: pass count increases as sampling approaches end (more smoothing where seams are most visible).'), io.Combo.Input(id='blend', options=['average', 'window', 'median'], default='average', tooltip='average: equal-weight mean. window: Hann-windowed weighting favoring each pass away from its patch boundaries. median: per-pixel median, rejects wraparound-outlier passes.'), io.Float.Input(id='strength', default=1.0, min=0.0, max=1.0, step=0.01, tooltip='Interpolation between the natural-grid pred (0) and the averaged result (1).')], outputs=[io.Model.Output()])","io.Model.Input: | io.Float.Input:(default=0.8;min=0.0;max=1.0;step=0.01) | io.Float.Input:(default=1.0;min=0.0;max=1.0;step=0.01) | io.Combo.Input:(options=['single_shift', 'symmetric'];default='single_shift') | io.Combo.Input:(options=['2', '4', 'ramp_2_4', 'ramp_2_4_8'];default='2') | io.Combo.Input:(options=['average', 'window', 'median'];default='average') | io.Float.Input:(default=1.0;min=0.0;max=1.0;step=0.01)",io.Model.Output:,False,[false],False,False,HiDreamO1PatchSeamSmoothing.execute (comfy_extras/nodes_hidream_o1.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_hidream_o1.py,HiDreamO1PatchSeamSmoothing,83,,ComfyExtension.get_node_list,COMFY-NODE-0224
HiDreamO1ReferenceImages,HiDreamO1ReferenceImages,HiDream-O1 Reference Images,model/conditioning/hidream,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls) -> io.Schema: return io.Schema(node_id='HiDreamO1ReferenceImages', display_name='HiDream-O1 Reference Images', category='model/conditioning/hidream', description='Attach 1-10 reference images to conditioning, one for edit instructionor multiple for subject-driven personalization.', inputs=[io.Conditioning.Input(id='positive'), io.Conditioning.Input(id='negative'), io.Autogrow.Input('images', template=io.Autogrow.TemplateNames(io.Image.Input('image'), names=[f'image_{i}' for i in range(1, 11)], min=1), tooltip='Reference images. 1 image = instruction edit; 2-10 images = multi reference.')], outputs=[io.Conditioning.Output(display_name='positive'), io.Conditioning.Output(display_name='negative')])",io.Conditioning.Input: | io.Conditioning.Input: | io.Autogrow.Input:images | io.Autogrow.TemplateNames:(min=1) | io.Image.Input:image,io.Conditioning.Output:(display_name='positive') | io.Conditioning.Output:(display_name='negative'),False,"[false, false]",False,False,HiDreamO1ReferenceImages.execute (comfy_extras/nodes_hidream_o1.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_hidream_o1.py,HiDreamO1ReferenceImages,42,,ComfyExtension.get_node_list,COMFY-NODE-0225
HitPawGeneralImageEnhance,HitPawGeneralImageEnhance,HitPaw General Image Enhance,partner/image/HitPaw,ComfyUI,API node,cloud/paid,code-inferred,high,V3,"@classmethod def define_schema(cls): return IO.Schema(node_id='HitPawGeneralImageEnhance', display_name='HitPaw General Image Enhance', category='partner/image/HitPaw', description=f'Upscale low-resolution images to super-resolution, eliminate artifacts and noise. Maximum output: {MAX_MP_GENERATIVE} megapixels.', inputs=[IO.Combo.Input('model', options=['generative_portrait', 'generative']), IO.Image.Input('image'), IO.Combo.Input('upscale_factor', options=[1, 2, 4]), IO.Boolean.Input('auto_downscale', default=False, tooltip='Automatically downscale input image if output would exceed the limit.')], outputs=[IO.Image.Output()], hidden=[IO.Hidden.auth_token_comfy_org, IO.Hidden.api_key_comfy_org, IO.Hidden.unique_id], is_api_node=True, price_badge=IO.PriceBadge(depends_on=IO.PriceBadgeDepends(widgets=['model']), expr='\n (\n $prices := {\n ""generative_portrait"": {""min"": 0.02, ""max"": 0.06},\n ""generative"": {""min"": 0.05, ""max"": 0.15}\n };\n $price := $lookup($prices, widgets.model);\n {\n ""type"": ""range_usd"",\n ""min_usd"": $price.min,\n ""max_usd"": $price.max\n }\n )\n '))","IO.Combo.Input:model(options=['generative_portrait', 'generative']) | IO.Image.Input:image | IO.Combo.Input:upscale_factor(options=[1, 2, 4]) | IO.Boolean.Input:auto_downscale(default=False)",IO.Image.Output:,False,[false],False,False,async HitPawGeneralImageEnhance.execute (comfy_api_nodes/nodes_hitpaw.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream; async functions awaited,"class raises: ValueError(f'Task creation failed with code {initial_res.code}: {initial_res.message}') | ValueError(f'Output size ({output_width}x{output_height} = {output_pixels:,} pixels) exceeds maximum allowed size of {MAX_PIXELS_GENERATIVE:,} pixels ({MAX_MP_GENERATIVE}MP). Enable auto_downscale or use a smaller input image or a lower upscale factor.'); uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted",comfy_api_nodes/nodes_hitpaw.py,HitPawGeneralImageEnhance,68,,ComfyExtension.get_node_list,COMFY-NODE-0226
HitPawVideoEnhance,HitPawVideoEnhance,HitPaw Video Enhance,partner/video/HitPaw,ComfyUI,API node,cloud/paid,code-inferred,high,V3,"@classmethod def define_schema(cls): model_options = [] for model_name in VIDEO_MODELS_MODELS_MAP: if model_name in LIMITED_RESOLUTION_MODELS: resolutions = RESOLUTIONS_LIMITED else: resolutions = RESOLUTIONS_FULL model_options.append(IO.DynamicCombo.Option(model_name, [IO.Combo.Input('resolution', options=resolutions)])) return IO.Schema(node_id='HitPawVideoEnhance', display_name='HitPaw Video Enhance', category='partner/video/HitPaw', description='Upscale low-resolution videos to high resolution, eliminate artifacts and noise. Prices shown are per second of video.', inputs=[IO.DynamicCombo.Input('model', options=model_options), IO.Video.Input('video')], outputs=[IO.Video.Output()], hidden=[IO.Hidden.auth_token_comfy_org, IO.Hidden.api_key_comfy_org, IO.Hidden.unique_id], is_api_node=True, price_badge=IO.PriceBadge(depends_on=IO.PriceBadgeDepends(widgets=['model', 'model.resolution']), expr='\n (\n $m := $lookup(widgets, ""model"");\n $res := $lookup(widgets, ""model.resolution"");\n $standard_model_prices := {\n ""original"": {""min"": 0.01, ""max"": 0.198},\n ""720p"": {""min"": 0.01, ""max"": 0.06},\n ""1080p"": {""min"": 0.015, ""max"": 0.09},\n ""2k/qhd"": {""min"": 0.02, ""max"": 0.117},\n ""4k/uhd"": {""min"": 0.025, ""max"": 0.152},\n ""8k"": {""min"": 0.033, ""max"": 0.198}\n };\n $ultra_hd_model_prices := {\n ""original"": {""min"": 0.015, ""max"": 0.264},\n ""720p"": {""min"": 0.015, ""max"": 0.092},\n ""1080p"": {""min"": 0.02, ""max"": 0.12},\n ""2k/qhd"": {""min"": 0.026, ""max"": 0.156},\n ""4k/uhd"": {""min"": 0.034, ""max"": 0.203},\n ""8k"": {""min"": 0.044, ""max"": 0.264}\n };\n $generative_model_prices := {\n ""original"": {""min"": 0.015, ""max"": 0.338},\n ""720p"": {""min"": 0.008, ""max"": 0.090},\n ""1080p"": {""min"": 0.05, ""max"": 0.15},\n ""2k/qhd"": {""min"": 0.038, ""max"": 0.225},\n ""4k/uhd"": {""min"": 0.056, ""max"": 0.338}\n };\n $prices := $contains($m, ""ultra hd"") ? $ultra_hd_model_prices :\n $contains($m, ""generative"") ? $generative_model_prices :\n $standard_model_prices;\n $price := $lookup($prices, $res);\n {\n ""type"": ""range_usd"",\n ""min_usd"": $price.min,\n ""max_usd"": $price.max,\n ""format"": {""approximate"": true, ""suffix"": ""/second""}\n }\n )\n '))",IO.DynamicCombo.Input:model(options=model_options) | IO.Video.Input:video,IO.Video.Output:,False,[false],False,False,async HitPawVideoEnhance.execute (comfy_api_nodes/nodes_hitpaw.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream; async functions awaited,"class raises: ValueError(f'Task creation failed with code {initial_res.code}: {initial_res.message}') | ValueError(f""Selected resolution {resolution} ({target_size}x{target_size}) is smaller than the input video ({src_width}x{src_height}). Please select a higher resolution or 'original'."") | ValueError(f""Selected resolution {resolution} ({target_size}p) is smaller than the input video's shorter dimension ({min_dimension}p). Please select a higher resolution or 'original'.""); uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted",comfy_api_nodes/nodes_hitpaw.py,HitPawVideoEnhance,185,,ComfyExtension.get_node_list,COMFY-NODE-0227
Hunyuan3Dv2Conditioning,Hunyuan3Dv2Conditioning,Hunyuan3Dv2Conditioning,model/conditioning/hunyuan 3d,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return IO.Schema(node_id='Hunyuan3Dv2Conditioning', category='model/conditioning/hunyuan 3d', inputs=[IO.ClipVisionOutput.Input('clip_vision_output')], outputs=[IO.Conditioning.Output(display_name='positive'), IO.Conditioning.Output(display_name='negative')])",IO.ClipVisionOutput.Input:clip_vision_output,IO.Conditioning.Output:(display_name='positive') | IO.Conditioning.Output:(display_name='negative'),False,"[false, false]",False,False,Hunyuan3Dv2Conditioning.execute (comfy_extras/nodes_hunyuan3d.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_hunyuan3d.py,Hunyuan3Dv2Conditioning,33,,ComfyExtension.get_node_list,COMFY-NODE-0228
Hunyuan3Dv2ConditioningMultiView,Hunyuan3Dv2ConditioningMultiView,Hunyuan3Dv2ConditioningMultiView,model/conditioning/hunyuan 3d,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return IO.Schema(node_id='Hunyuan3Dv2ConditioningMultiView', category='model/conditioning/hunyuan 3d', inputs=[IO.ClipVisionOutput.Input('front', optional=True), IO.ClipVisionOutput.Input('left', optional=True), IO.ClipVisionOutput.Input('back', optional=True), IO.ClipVisionOutput.Input('right', optional=True)], outputs=[IO.Conditioning.Output(display_name='positive'), IO.Conditioning.Output(display_name='negative')])",IO.ClipVisionOutput.Input:front(optional=True) | IO.ClipVisionOutput.Input:left(optional=True) | IO.ClipVisionOutput.Input:back(optional=True) | IO.ClipVisionOutput.Input:right(optional=True),IO.Conditioning.Output:(display_name='positive') | IO.Conditioning.Output:(display_name='negative'),False,"[false, false]",False,False,Hunyuan3Dv2ConditioningMultiView.execute (comfy_extras/nodes_hunyuan3d.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_hunyuan3d.py,Hunyuan3Dv2ConditioningMultiView,58,,ComfyExtension.get_node_list,COMFY-NODE-0229
HunyuanImageToVideo,HunyuanImageToVideo,HunyuanImageToVideo,model/conditioning/hunyuan video,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='HunyuanImageToVideo', category='model/conditioning/hunyuan video', inputs=[io.Conditioning.Input('positive'), io.Vae.Input('vae'), io.Int.Input('width', default=848, min=16, max=nodes.MAX_RESOLUTION, step=16), io.Int.Input('height', default=480, min=16, max=nodes.MAX_RESOLUTION, step=16), io.Int.Input('length', default=53, min=1, max=nodes.MAX_RESOLUTION, step=4), io.Int.Input('batch_size', default=1, min=1, max=4096), io.Combo.Input('guidance_type', options=['v1 (concat)', 'v2 (replace)', 'custom'], advanced=True), io.Image.Input('start_image', optional=True)], outputs=[io.Conditioning.Output(display_name='positive'), io.Latent.Output(display_name='latent')])","io.Conditioning.Input:positive | io.Vae.Input:vae | io.Int.Input:width(default=848;min=16;max=nodes.MAX_RESOLUTION;step=16) | io.Int.Input:height(default=480;min=16;max=nodes.MAX_RESOLUTION;step=16) | io.Int.Input:length(default=53;min=1;max=nodes.MAX_RESOLUTION;step=4) | io.Int.Input:batch_size(default=1;min=1;max=4096) | io.Combo.Input:guidance_type(options=['v1 (concat)', 'v2 (replace)', 'custom'];advanced=True) | io.Image.Input:start_image(optional=True)",io.Conditioning.Output:(display_name='positive') | io.Latent.Output:(display_name='latent'),False,"[false, false]",False,False,HunyuanImageToVideo.execute (comfy_extras/nodes_hunyuan.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_hunyuan.py,HunyuanImageToVideo,308,,ComfyExtension.get_node_list,COMFY-NODE-0230
