catalog_id,record_type,name,numeric_value,protocol_references,source_paths,capability_ids,status,summary
KIND-KIND_HUDDLE_PARTICIPANT_LEFT,event_kind,KIND_HUDDLE_PARTICIPANT_LEFT,48102,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-032,registered,A participant left a huddle.
KIND-KIND_HUDDLE_ENDED,event_kind,KIND_HUDDLE_ENDED,48103,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-032,registered,A huddle ended.
KIND-KIND_HUDDLE_GUIDELINES,event_kind,KIND_HUDDLE_GUIDELINES,48106,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-032,registered,Huddle channel guidelines/rules document.
KIND-KIND_MEDIA_UPLOAD,event_kind,KIND_MEDIA_UPLOAD,49001,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-031,internal-not-relay-event,Internal kind for media upload audit entries. Not a relay event kind.
KIND-KIND_GIT_REPO_ANNOUNCEMENT,event_kind,KIND_GIT_REPO_ANNOUNCEMENT,30617,NIP-34,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-019;CAP-020,registered,"NIP-34: Repository announcement (parameterized replaceable, d-tag = repo-id)."
KIND-KIND_GIT_REPO_STATE,event_kind,KIND_GIT_REPO_STATE,30618,NIP-34,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-019;CAP-020,registered,"NIP-34: Repository state — current branch/tag refs (parameterized replaceable, d-tag = repo-id)."
KIND-KIND_GIT_PATCH,event_kind,KIND_GIT_PATCH,1617,NIP-34,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-019;CAP-020,registered,NIP-34: Patch (git format-patch output).
KIND-KIND_GIT_PULL_REQUEST,event_kind,KIND_GIT_PULL_REQUEST,1618,NIP-34,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-019;CAP-020,registered,NIP-34: Pull request.
KIND-KIND_GIT_PR_UPDATE,event_kind,KIND_GIT_PR_UPDATE,1619,NIP-34,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-019;CAP-020,registered,NIP-34: Pull request update (tip commit change).
KIND-KIND_GIT_ISSUE,event_kind,KIND_GIT_ISSUE,1621,NIP-34,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-019;CAP-020,registered,NIP-34: Issue.
KIND-KIND_GIT_STATUS_OPEN,event_kind,KIND_GIT_STATUS_OPEN,1630,NIP-34,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-019;CAP-020,registered,NIP-34: Status — Open.
KIND-KIND_GIT_STATUS_MERGED,event_kind,KIND_GIT_STATUS_MERGED,1631,NIP-34,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-019;CAP-020,registered,NIP-34: Status — Applied / Merged.
KIND-KIND_GIT_STATUS_CLOSED,event_kind,KIND_GIT_STATUS_CLOSED,1632,NIP-34,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-019;CAP-020,registered,NIP-34: Status — Closed.
KIND-KIND_GIT_STATUS_DRAFT,event_kind,KIND_GIT_STATUS_DRAFT,1633,NIP-34,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-019;CAP-020,registered,NIP-34: Status — Draft.
KIND-KIND_PROJECT,event_kind,KIND_PROJECT,30621,NIP-MP,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-018,registered,NIP-MP: Multi-repo project — a named grouping of `kind:30617` repository
STANDARD-NIP-01,standard_nip,NIP-01,,NIP-01,projects/buzz/crates/buzz-core/src/kind.rs;projects/buzz/NOSTR.md,CAP-001;CAP-002,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-02,standard_nip,NIP-02,,NIP-02,projects/buzz/crates/buzz-core/src/kind.rs,CAP-002;CAP-007,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-04,standard_nip,NIP-04,,NIP-04,projects/buzz/NOSTR.md,CAP-002;CAP-012,unsupported,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-05,standard_nip,NIP-05,,NIP-05,projects/buzz/NOSTR.md,CAP-002;CAP-007,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-09,standard_nip,NIP-09,,NIP-09,projects/buzz/crates/buzz-core/src/kind.rs;projects/buzz/NOSTR.md,CAP-002;CAP-011,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-10,standard_nip,NIP-10,,NIP-10,projects/buzz/NOSTR.md,CAP-002;CAP-011,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-11,standard_nip,NIP-11,,NIP-11,projects/buzz/NOSTR.md,CAP-002;CAP-003,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-17,standard_nip,NIP-17,,NIP-17,projects/buzz/crates/buzz-core/src/kind.rs;projects/buzz/NOSTR.md,CAP-002;CAP-012,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-23,standard_nip,NIP-23,,NIP-23,projects/buzz/crates/buzz-core/src/kind.rs,CAP-002;CAP-017,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-25,standard_nip,NIP-25,,NIP-25,projects/buzz/crates/buzz-core/src/kind.rs;projects/buzz/NOSTR.md,CAP-002;CAP-011,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-28,standard_nip,NIP-28,,NIP-28,projects/buzz/NOSTR.md,CAP-002;CAP-010,removed,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-29,standard_nip,NIP-29,,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs;projects/buzz/NOSTR.md,CAP-002;CAP-010;CAP-011,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-30,standard_nip,NIP-30,,NIP-30,projects/buzz/crates/buzz-core/src/kind.rs,CAP-002;CAP-017,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-33,standard_nip,NIP-33,,NIP-33,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-002,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-34,standard_nip,NIP-34,,NIP-34,projects/buzz/crates/buzz-core/src/kind.rs,CAP-002;CAP-019;CAP-020,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-38,standard_nip,NIP-38,,NIP-38,projects/buzz/crates/buzz-core/src/kind.rs,CAP-002;CAP-007,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-42,standard_nip,NIP-42,,NIP-42,projects/buzz/crates/buzz-core/src/kind.rs;projects/buzz/NOSTR.md,CAP-002;CAP-008,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-43,standard_nip,NIP-43,,NIP-43,projects/buzz/crates/buzz-core/src/kind.rs;projects/buzz/NOSTR.md,CAP-002;CAP-003;CAP-008,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-44,standard_nip,NIP-44,,NIP-44,projects/buzz/crates/buzz-core/src/kind.rs;projects/buzz/NOSTR.md,CAP-002;CAP-009;CAP-012;CAP-013;CAP-024,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-50,standard_nip,NIP-50,,NIP-50,projects/buzz/crates/buzz-core/src/kind.rs;projects/buzz/NOSTR.md,CAP-002;CAP-015,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-51,standard_nip,NIP-51,,NIP-51,projects/buzz/crates/buzz-core/src/kind.rs,CAP-002;CAP-007;CAP-013;CAP-017,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-56,standard_nip,NIP-56,,NIP-56,projects/buzz/crates/buzz-core/src/kind.rs,CAP-002;CAP-029,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-65,standard_nip,NIP-65,,NIP-65,projects/buzz/crates/buzz-core/src/kind.rs,CAP-002;CAP-007,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-70,standard_nip,NIP-70,,NIP-70,projects/buzz/NOSTR.md,CAP-002;CAP-003;CAP-008,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-78,standard_nip,NIP-78,,NIP-78,projects/buzz/crates/buzz-core/src/kind.rs,CAP-002;CAP-013,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-90,standard_nip,NIP-90,,NIP-90,projects/buzz/crates/buzz-core/src/kind.rs,CAP-002;CAP-021;CAP-026,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-94,standard_nip,NIP-94,,NIP-94,projects/buzz/crates/buzz-core/src/kind.rs,CAP-002;CAP-031,referenced,Standard Nostr protocol referenced by Buzz
STANDARD-NIP-98,standard_nip,NIP-98,,NIP-98,projects/buzz/crates/buzz-core/src/kind.rs,CAP-002;CAP-008;CAP-019,referenced,Standard Nostr protocol referenced by Buzz
DOC-NIP-AA-MD,custom_nip_document,NIP-AA.md,,NIP-AA,projects/buzz/docs/nips/NIP-AA.md,CAP-001;CAP-002;CAP-007;CAP-008;CAP-021,documented,Buzz extension document NIP-AA.md
DOC-NIP-AE-MD,custom_nip_document,NIP-AE.md,,NIP-AE,projects/buzz/docs/nips/NIP-AE.md,CAP-001;CAP-002;CAP-024,documented,Buzz extension document NIP-AE.md
DOC-NIP-AM-MD,custom_nip_document,NIP-AM.md,,NIP-AM,projects/buzz/docs/nips/NIP-AM.md,CAP-001;CAP-002;CAP-024;CAP-028,documented,Buzz extension document NIP-AM.md
DOC-NIP-AO-MD,custom_nip_document,NIP-AO.md,,NIP-AO,projects/buzz/docs/nips/NIP-AO.md,CAP-001;CAP-002;CAP-025,documented,Buzz extension document NIP-AO.md
DOC-NIP-AP-MD,custom_nip_document,NIP-AP.md,,NIP-AP,projects/buzz/docs/nips/NIP-AP.md,CAP-001;CAP-002;CAP-023,documented,Buzz extension document NIP-AP.md
DOC-NIP-CW-MD,custom_nip_document,NIP-CW.md,,NIP-CW,projects/buzz/docs/nips/NIP-CW.md,CAP-001;CAP-002;CAP-011,documented,Buzz extension document NIP-CW.md
DOC-NIP-DV-MD,custom_nip_document,NIP-DV.md,,NIP-DV,projects/buzz/docs/nips/NIP-DV.md,CAP-001;CAP-002;CAP-012,documented,Buzz extension document NIP-DV.md
DOC-NIP-ER-MD,custom_nip_document,NIP-ER.md,,NIP-ER,projects/buzz/docs/nips/NIP-ER.md,CAP-001;CAP-002;CAP-013,documented,Buzz extension document NIP-ER.md
DOC-NIP-GS-MD,custom_nip_document,NIP-GS.md,,NIP-GS,projects/buzz/docs/nips/NIP-GS.md,CAP-001;CAP-002;CAP-019,documented,Buzz extension document NIP-GS.md
DOC-NIP-IA-MD,custom_nip_document,NIP-IA.md,,NIP-IA,projects/buzz/docs/nips/NIP-IA.md,CAP-001;CAP-002;CAP-007;CAP-030,documented,Buzz extension document NIP-IA.md
DOC-NIP-MP-FIXTURES-JSON,protocol_fixture,NIP-MP.fixtures.json,,NIP-MP,projects/buzz/docs/nips/NIP-MP.fixtures.json,CAP-001;CAP-002;CAP-018;CAP-044,fixture,Protocol fixture NIP-MP.fixtures.json
DOC-NIP-MP-FOLD-FIXTURES-JSON,protocol_fixture,NIP-MP.fold-fixtures.json,,NIP-MP,projects/buzz/docs/nips/NIP-MP.fold-fixtures.json,CAP-001;CAP-002;CAP-018;CAP-044,fixture,Protocol fixture NIP-MP.fold-fixtures.json
DOC-NIP-MP-MD,custom_nip_document,NIP-MP.md,,NIP-MP,projects/buzz/docs/nips/NIP-MP.md,CAP-001;CAP-002;CAP-018,documented,Buzz extension document NIP-MP.md
DOC-NIP-OA-MD,custom_nip_document,NIP-OA.md,,NIP-OA,projects/buzz/docs/nips/NIP-OA.md,CAP-001;CAP-002;CAP-007;CAP-008;CAP-021;CAP-023;CAP-024;CAP-025;CAP-026,documented,Buzz extension document NIP-OA.md
DOC-NIP-PL-MD,custom_nip_document,NIP-PL.md,,NIP-PL,projects/buzz/docs/nips/NIP-PL.md,CAP-001;CAP-002;CAP-016,documented,Buzz extension document NIP-PL.md
DOC-NIP-PMA-MD,custom_nip_document,NIP-PMA.md,,NIP-PMA,projects/buzz/docs/nips/NIP-PMA.md,CAP-001;CAP-002;CAP-023;CAP-024,documented,Buzz extension document NIP-PMA.md
DOC-NIP-RS-MD,custom_nip_document,NIP-RS.md,,NIP-RS,projects/buzz/docs/nips/NIP-RS.md,CAP-001;CAP-002;CAP-013,documented,Buzz extension document NIP-RS.md
DOC-NIP-WP-MD,custom_nip_document,NIP-WP.md,,NIP-WP,projects/buzz/docs/nips/NIP-WP.md,CAP-001;CAP-002;CAP-003;CAP-036,documented,Buzz extension document NIP-WP.md
GUIDE-NOSTR-MD,protocol_guide,NOSTR.md,,NIP-01;NIP-02;NIP-04;NIP-05;NIP-09;NIP-10;NIP-11;NIP-17;NIP-23;NIP-25;NIP-28;NIP-29;NIP-30;NIP-33;NIP-34;NIP-38;NIP-42;NIP-43;NIP-44;NIP-50;NIP-51;NIP-56;NIP-65;NIP-70;NIP-78;NIP-90;NIP-94;NIP-98,projects/buzz/NOSTR.md,CAP-001;CAP-002;CAP-044,authoritative-guide,Buzz third-party Nostr interoperability and support-status guide
